City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Nelson Bay,AU,-32.7167,152.15,64.99,49,5,11.99,clear sky
312,Coruripe,BR,-10.1256,-36.1756,72.64,82,100,10.51,overcast clouds
313,Arraial Do Cabo,BR,-22.9661,-42.0278,69.67,85,0,15.55,clear sky
314,Surovikino,RU,48.6078,42.8486,73.92,61,3,4.34,clear sky
315,Hastings,GB,50.8552,0.5729,62.78,99,99,8.88,overcast clouds
316,Nantucket,US,41.2835,-70.0995,69.91,88,0,5.75,clear sky
317,Kahului,US,20.8947,-156.47,82.42,67,75,21.85,broken clouds
318,Araouane,ML,18.9048,-3.5265,92.41,11,84,7.72,broken clouds
319,Hope,US,33.6671,-93.5916,91.45,56,75,10.33,broken clouds
320,Westport,US,41.1415,-73.3579,71.37,82,0,3.44,clear sky
321,Mahina,PF,-17.5065,-149.489,77.76,78,40,3.44,light rain
322,Bacolod,PH,10.6667,122.95,85.64,75,94,12.03,overcast clouds
323,Newport,GB,51.5877,-2.9984,55.45,77,25,9.13,scattered clouds
324,Asau,RO,46.4333,26.4,65.32,54,39,1.63,scattered clouds
325,College,US,64.8569,-147.8028,59.58,52,75,11.5,broken clouds
326,Dunedin,NZ,-45.8742,170.5036,45.97,95,100,8.57,light rain
327,Xichang,CN,27.8964,102.2634,81.07,58,80,3.78,broken clouds
328,Dikson,RU,73.5069,80.5464,41.47,99,100,20.67,light rain
329,Caravelas,BR,-17.7125,-39.2481,69.28,81,2,6.42,clear sky
330,Luderitz,NA,-26.6481,15.1594,53.85,70,0,8.46,clear sky
331,Tuatapere,NZ,-46.1333,167.6833,45.55,96,100,3.02,light rain
332,Fairbanks,US,64.8378,-147.7164,60.1,52,75,11.5,broken clouds
333,Doha,QA,25.2867,51.5333,94.98,64,100,16.11,moderate rain
334,Nukus,UZ,42.4531,59.6103,84.18,34,0,6.91,clear sky
335,Kholmogory,RU,64.2229,41.656,68.58,67,51,8.14,broken clouds
336,Campos Belos,BR,-13.0367,-46.7717,64.54,47,3,4.32,clear sky
337,Yeppoon,AU,-23.1333,150.7333,71.38,40,0,8.81,clear sky
338,Acarau,BR,-2.8856,-40.12,75.96,82,49,12.41,scattered clouds
339,Shieli,KZ,44.1667,66.75,87.4,29,0,10.69,clear sky
340,Honiara,SB,-9.4333,159.95,83.89,71,49,3.53,scattered clouds
341,Liverpool,GB,53.4106,-2.9779,54.82,89,100,5.75,overcast clouds
342,Roald,NO,62.5833,6.1333,53.76,87,75,6.91,broken clouds
343,Gazanjyk,TM,39.2446,55.5154,90.12,25,48,17.92,scattered clouds
344,Hami,CN,42.8,93.45,95.54,8,0,6.06,clear sky
345,Roma,US,43.2128,-75.4557,60.87,91,0,3.44,clear sky
346,Matara,LK,5.9485,80.5353,83.16,75,100,4.45,overcast clouds
347,Caxito,AO,-8.5785,13.6643,70.59,84,100,2.08,overcast clouds
348,Maneadero,MX,31.7167,-116.5667,68.11,83,35,1.99,scattered clouds
